curve_type,sample_id,x,density
posterior_predictive,pp_001,44.94716965254915,0.0016234295618259536
posterior_predictive,pp_001,45.22222277780482,0.0016756853251588078
posterior_predictive,pp_001,45.49727590306048,0.0017234269919850398
posterior_predictive,pp_001,45.77232902831615,0.001765808128245303
posterior_predictive,pp_001,46.04738215357182,0.0018021896601960023
posterior_predictive,pp_001,46.322435278827484,0.0018321684961762183
posterior_predictive,pp_001,46.59748840408315,0.0018555874406035022
posterior_predictive,pp_001,46.87254152933882,0.0018725261141138109
posterior_predictive,pp_001,47.147594654594485,0.0018832748927659914
posterior_predictive,pp_001,47.42264777985015,0.0018882961190519645
posterior_predictive,pp_001,47.69770090510582,0.0018881785848517832
posterior_predictive,pp_001,47.972754030361486,0.001883592043472031
posterior_predictive,pp_001,48.24780715561715,0.0018752478920874929
posterior_predictive,pp_001,48.52286028087282,0.0018638701129711143
posterior_predictive,pp_001,48.79791340612849,0.001850177452354143
posterior_predictive,pp_001,49.072966531384154,0.0018348744442155227
posterior_predictive,pp_001,49.34801965663982,0.0018186462522344741
posterior_predictive,pp_001,49.62307278189549,0.001802151281691637
posterior_predictive,pp_001,49.898125907151154,0.0017860065268836072
posterior_predictive,pp_001,50.17317903240682,0.001770763446408604
posterior_predictive,pp_001,50.44823215766249,0.0017568759646745642
posterior_predictive,pp_001,50.723285282918155,0.0017446657984323119
posterior_predictive,pp_001,50.99833840817382,0.0017342925632914976
posterior_predictive,pp_001,51.27339153342949,0.0017257363186478716
posterior_predictive,pp_001,51.548444658685156,0.001718798309030897
posterior_predictive,pp_001,51.82349778394082,0.0017131222496316065
posterior_predictive,pp_001,52.09855090919649,0.0017082345873082295
posterior_predictive,pp_001,52.37360403445216,0.0017035988009494467
posterior_predictive,pp_001,52.648657159707824,0.001698676755797356
posterior_predictive,pp_001,52.92371028496349,0.0016929896824231857
posterior_predictive,pp_001,53.19876341021916,0.0016861723172836996
posterior_predictive,pp_001,53.473816535474825,0.001678015603658988
posterior_predictive,pp_001,53.74886966073049,0.001668495509349589
posterior_predictive,pp_001,54.02392278598616,0.0016577874832111408
posterior_predictive,pp_001,54.298975911241826,0.001646267562054263
posterior_predictive,pp_001,54.57402903649749,0.0016345020484901877
posterior_predictive,pp_001,54.84908216175316,0.0016232279998024143
posterior_predictive,pp_001,55.124135287008826,0.0016133265121887597
posterior_predictive,pp_001,55.39918841226449,0.0016057899896636822
posterior_predictive,pp_001,55.67424153752016,0.0016016833816461485
posterior_predictive,pp_001,55.94929466277583,0.001602098073260273
posterior_predictive,pp_001,56.224347788031494,0.0016080962534260213
posterior_predictive,pp_001,56.49940091328716,0.0016206438331671502
posterior_predictive,pp_001,56.77445403854283,0.0016405319095195482
posterior_predictive,pp_001,57.049507163798495,0.001668290544959531
posterior_predictive,pp_001,57.32456028905416,0.0017041037901770887
posterior_predictive,pp_001,57.59961341430983,0.0017477402321213207
posterior_predictive,pp_001,57.874666539565496,0.0017985171794099879
posterior_predictive,pp_001,58.14971966482116,0.0018553170926592785
posterior_predictive,pp_001,58.42477279007683,0.0019166707182050992
posterior_predictive,pp_001,58.6998259153325,0.001980912337530401
posterior_predictive,pp_001,58.97487904058816,0.0020463997244175042
posterior_predictive,pp_001,59.24993216584383,0.00211177723618822
posterior_predictive,pp_001,59.52498529109949,0.00217624819674282
posterior_predictive,pp_001,59.80003841635516,0.002239815603779176
posterior_predictive,pp_001,60.075091541610824,0.0023034505568428113
posterior_predictive,pp_001,60.35014466686649,0.00236915637884343
posterior_predictive,pp_001,60.62519779212216,0.002439911980635256
posterior_predictive,pp_001,60.900250917377825,0.0025194976741458558
posterior_predictive,pp_001,61.17530404263349,0.0026122264429702426
posterior_predictive,pp_001,61.45035716788916,0.0027226196696990643
posterior_predictive,pp_001,61.725410293144826,0.002855075475278654
posterior_predictive,pp_001,62.00046341840049,0.00301357874176143
posterior_predictive,pp_001,62.27551654365616,0.003201494979294559
posterior_predictive,pp_001,62.55056966891183,0.003421477399626966
posterior_predictive,pp_001,62.825622794167494,0.0036755006752497398
posterior_predictive,pp_001,63.10067591942316,0.003965018771124703
posterior_predictive,pp_001,63.37572904467883,0.004291230208477986
posterior_predictive,pp_001,63.650782169934494,0.0046554234581516404
posterior_predictive,pp_001,63.92583529519016,0.005059368187065749
posterior_predictive,pp_001,64.20088842044584,0.005505714432224639
posterior_predictive,pp_001,64.47594154570149,0.005998360834187902
