市州,year,city_id,grade_id,obs_id,F_strength,F_speed,F_endurance,F_flexibility
内江市教育局,2021,1,0,218,-0.629939648,0.7975454344122378,-1.214460641,-0.594349753
内江市教育局,2021,1,4,219,-0.739344417,0.6194770089394136,-0.862713363,-0.327139777
凉山彝族自治州教育局,2021,2,1,220,1.7511100977072296,0.8885299999507787,-0.460594649,0.7370831354664937
凉山彝族自治州教育局,2021,2,2,221,1.0158540913011629,0.12522383192475559,-0.028176312,1.5296106496798516
凉山彝族自治州教育局,2021,2,3,222,0.6421359417749692,-0.37536127,0.8302597189346522,2.2230882866238213
凉山彝族自治州教育局,2021,2,0,223,-0.897279936,1.1903990871308094,1.6266506474331939,1.1839523538824692
凉山彝族自治州教育局,2021,2,4,224,-1.232650707,1.1552884941193797,1.2801019518954648,1.7988346763737393
南充市教育局,2021,3,1,225,0.5802760123163889,-1.232645305,-1.116564043,-1.090359754
南充市教育局,2021,3,2,226,0.05952887976961572,-1.576125715,-1.316230867,-0.495644962
南充市教育局,2021,3,3,227,-0.368157078,-1.660732058,-0.827765643,0.04586218509184743
南充市教育局,2021,3,0,228,-1.266809219,-0.037941453,-1.548068393,-0.342199114
南充市教育局,2021,3,4,229,-1.185189985,-0.386622392,-1.95112387,-0.096126299
宜宾市教育局,2021,4,1,230,0.2923082694894794,-0.10059913,0.0610468454440877,0.013827688223902873
宜宾市教育局,2021,4,2,231,0.41400167899328977,-0.495536772,-0.296147873,0.451507268334616
宜宾市教育局,2021,4,3,232,0.27181197260500284,-0.56713501,0.4582334275467369,0.8395135890581213
宜宾市教育局,2021,4,0,233,-0.912651439,0.5354832858654212,-0.117578493,0.5299066352029383
宜宾市教育局,2021,4,4,234,-1.200541988,0.4455858439995832,-0.269144524,0.8754431899766739
巴中市教育局,2021,5,1,235,-0.199427987,-0.055090116,0.39484175808712824,-0.155559199
巴中市教育局,2021,5,2,236,-0.069440069,-0.397580379,0.4622388581444915,0.3305950011329835
巴中市教育局,2021,5,3,237,-0.138018414,-0.455126286,1.6012210110560658,0.6054041019931006
巴中市教育局,2021,5,0,238,-0.676918497,0.2767408754737474,1.1448431445763403,-0.385799984
巴中市教育局,2021,5,4,239,-0.805743699,0.505669827519116,0.528137537781828,0.14013684017646
广元市教育局,2021,6,1,240,-0.436294161,-1.782323382,-0.423571503,-1.66561381
广元市教育局,2021,6,2,241,-0.602102452,-1.764518701,-1.241915687,-1.368260075
广元市教育局,2021,6,3,242,-0.588149603,-1.659192019,-1.030260003,-0.973601411
广元市教育局,2021,6,0,243,-1.081918925,-0.350579793,-1.061732507,-1.823184187
广元市教育局,2021,6,4,244,-0.48801878,-0.542755797,-0.551734772,-1.424973429
广安市教育局,2021,7,1,245,-1.062786358,-1.84959232,-0.619798608,-2.447884733
广安市教育局,2021,7,2,246,-0.69555222,-1.912589806,-0.633161367,-2.106012271
广安市教育局,2021,7,3,247,-0.737463418,-2.034222828,-0.524585804,-1.805680916
广安市教育局,2021,7,0,248,-1.809381365,-0.165853208,-0.741565536,-1.705141104
广安市教育局,2021,7,4,249,-2.04924572,-0.09912799,-1.102608126,-1.511609847
德阳市教育局,2021,8,1,250,-0.641013294,0.15687374112527624,0.03065971006387656,0.11177409286816513
德阳市教育局,2021,8,2,251,0.3241671524062145,-0.263104071,-0.236534603,0.06355031500676446
德阳市教育局,2021,8,3,252,0.34199816962767565,-0.389076497,0.20940537642682833,-0.052907035
德阳市教育局,2021,8,0,253,-0.020921978,0.562163671445106,0.09348133372362226,-1.427827171
德阳市教育局,2021,8,4,254,0.2775749312558842,0.6006585501848519,-1.045925184,-0.930369891
成都市教育局,2021,9,1,255,-0.172072934,1.0298642507727083,0.7157120277439549,1.1400136784510075
成都市教育局,2021,9,2,256,1.0721233234016259,0.6915948262540241,0.28304228628381223,1.2606949868338084
成都市教育局,2021,9,3,257,1.67606288958802,0.509066129995218,0.8561118219583347,1.1708696894141162
成都市教育局,2021,9,0,258,2.2469705742062396,2.153215580372058,1.5807243038749426,1.1061183743478624
成都市教育局,2021,9,4,259,0.7928653404698105,1.1355406228286902,-0.322428351,1.1293270335591539
攀枝花市教育局,2021,10,1,260,0.017880321970285853,0.27921663026616667,-0.584415231,-0.836878018
攀枝花市教育局,2021,10,2,261,0.6857783678775985,-0.081001635,-0.519052986,-0.743353587
攀枝花市教育局,2021,10,3,262,0.8673035662469902,-0.224015287,1.1302923479886942,-0.234757985
攀枝花市教育局,2021,10,0,263,0.8290784370352544,0.3411306631625224,3.0668132166476054,-0.11202106
攀枝花市教育局,2021,10,4,264,0.7110553192432115,0.6771740958807426,0.6517026450295488,-0.464587102
泸州市教育局,2021,11,1,265,-0.059920806,-0.182411769,-0.067409949,-0.393516113
泸州市教育局,2021,11,2,266,0.0522023836735161,-0.180858768,0.07455631482013524,0.24184656832995186
泸州市教育局,2021,11,3,267,0.5708079562788121,-0.025207477,1.3859982727518365,0.4950330658491949
泸州市教育局,2021,11,0,268,-0.550562983,0.9592919563703562,1.9686578096286276,0.07639137966319752
泸州市教育局,2021,11,4,269,-0.904697905,0.6374321890120775,0.7640995545773215,0.19246008941294476
甘孜藏族自治州教育局,2021,12,1,270,1.9629160620468797,-0.109125362,-1.463757683,0.6223681945008589
甘孜藏族自治州教育局,2021,12,2,271,0.7873714120080527,-1.30795409,-1.449213816,1.0129442077918633
甘孜藏族自治州教育局,2021,12,3,272,0.17025204050375445,-1.641033311,0.04160367128870604,1.2309171233840834
甘孜藏族自治州教育局,2021,12,0,273,-1.442149193,0.5128662668887153,0.6554478160245629,0.482792784931028
甘孜藏族自治州教育局,2021,12,4,274,-1.872642741,0.585607794082798,-0.578998537,-0.263155696
眉山市教育局,2021,13,1,275,0.21487935095280994,0.27105282364797667,-0.00507545,-0.405742867
眉山市教育局,2021,13,2,276,0.4116284692661593,-0.033288633,-0.552187381,-0.302863827
眉山市教育局,2021,13,3,277,0.6611810814863041,0.02249595505567056,0.3776174026965501,-0.050233674
眉山市教育局,2021,13,0,278,0.058361290977027955,0.8415970635855144,-0.22889971,-1.263088984
眉山市教育局,2021,13,4,279,-0.571424143,0.31976927767036123,-1.198429955,-1.161628545
绵阳市教育和体育局,2021,14,1,280,0.049315088359122565,0.38666387670977337,-0.424340438,-0.723608489
绵阳市教育和体育局,2021,14,2,281,0.22463638905548566,0.18008327429233356,-0.41380952,-0.424970712
绵阳市教育和体育局,2021,14,3,282,0.36371157835695767,0.4088985562094089,0.3613125466693357,-0.040821805
绵阳市教育和体育局,2021,14,0,283,-0.275779791,1.1244942801886004,0.9840735631127479,-1.991437246
